waypoint_index,elapsed_seconds,delta_seconds,speed_kmh,x,y,z
1,3.199999999999993,3.199999999999993,34.27020263671875,-289.4931335449219,407.9544677734375,0.0
2,3.9499999999999904,0.7499999999999973,45.316419982910155,-290.13897705078125,409.8473205566406,0.0
3,4.09999999999999,0.14999999999999947,47.490260696411134,-290.7847900390625,411.74017333984375,0.0
4,4.249999999999989,0.14999999999999947,49.65235633850098,-291.4306335449219,413.633056640625,0.0
5,4.399999999999989,0.14999999999999947,51.802724075317386,-292.0764465332031,415.5259094238281,0.0
6,4.549999999999988,0.14999999999999947,53.9413948059082,-292.7222900390625,417.41876220703125,0.0
7,4.649999999999988,0.09999999999999964,55.3606876373291,-293.36810302734375,419.3116149902344,0.0
8,4.799999999999987,0.14999999999999947,57.47991943359375,-294.0139465332031,421.2044677734375,0.0
9,4.899999999999987,0.09999999999999964,58.88627243041992,-294.6597595214844,423.0973205566406,0.0
10,5.0499999999999865,0.14999999999999947,60.98610992431641,-295.30560302734375,424.99017333984375,0.0
11,5.149999999999986,0.09999999999999964,62.37956771850586,-295.951416015625,426.883056640625,0.0
12,5.249999999999986,0.09999999999999964,63.76787567138672,-296.5972595214844,428.7759094238281,0.0
13,5.399999999999985,0.14999999999999947,65.84070053100587,-297.2430725097656,430.66876220703125,0.0
14,5.499999999999985,0.09999999999999964,67.2161750793457,-297.888916015625,432.5616149902344,0.0
15,5.5999999999999845,0.09999999999999964,68.58652725219727,-298.53472900390625,434.4544677734375,0.0
16,5.699999999999984,0.09999999999999964,69.95176391601562,-299.1805725097656,436.3473205566406,0.0
17,5.799999999999984,0.09999999999999964,71.31189193725587,-299.8263854980469,438.24017333984375,0.0
18,5.8999999999999835,0.09999999999999964,72.66692504882813,-300.41998291015625,439.97998046875,0.0
19,5.999999999999983,0.09999999999999964,74.01691131591797,-301.0658264160156,441.8728332519531,0.0
20,6.099999999999983,0.09999999999999964,75.36185073852539,-301.7116394042969,443.76568603515625,0.0
21,6.199999999999982,0.09999999999999964,76.70175704956056,-302.35748291015625,445.6585388183594,0.0
22,6.249999999999982,0.04999999999999982,77.36982879638673,-303.0032958984375,447.5513916015625,0.0
23,6.349999999999982,0.09999999999999964,78.70223693847656,-303.6491394042969,449.44427490234375,0.0
24,6.4499999999999815,0.09999999999999964,80.02968063354493,-304.2949523925781,451.3371276855469,0.0
25,6.549999999999981,0.09999999999999964,81.35216674804688,-304.9407958984375,453.22998046875,0.0
26,6.649999999999981,0.09999999999999964,82.6697364807129,-305.58660888671875,455.1228332519531,0.0
27,6.699999999999981,0.04999999999999982,83.32667083740235,-306.2324523925781,457.01568603515625,0.0
28,6.79999999999998,0.09999999999999964,84.63682479858399,-306.8782653808594,458.9085388183594,0.0
29,6.89999999999998,0.09999999999999964,85.94215164184571,-307.52410888671875,460.8013916015625,0.0
30,6.99999999999998,0.09999999999999964,87.24255523681641,-308.169921875,462.6942443847656,0.0
31,7.049999999999979,0.04999999999999982,87.89094772338868,-308.8157653808594,464.5871276855469,0.0
